"","xtnb_overspeed","xtnb_highspeedbrake","xtnb_harshacceleration","xtnb_harshdeceleration"
"","b","b","b","b"
"main","","","",""
"id2","-29.69959","-2.000962","1.266359","1.342323"
"id3","-19.46768","-17.47238","2.003631","1.740203"
"id4","-18.6152","-16.6932","1.890715","1.959741"
"id5","-30.59867","-4.955704","-1.193176","-1.071691"
"id6","-1.47815","-.5538129","1.066897",".9354224"
"id7","-3.236637","-.6454075",".6563763",".8350849"
"id8","-21.39292","-2.368458","-.1896301",".1244552"
"id9","-1.156364","-.0678609","-.2513506","-.109266"
"id10","-3.110228","-1.527336","-.3448695","-.256032"
"id11","-2.026338","-1.162964","-.1621659","-.2717504"
"id12","-1.341868","-.7715992",".0781105",".0980887"
"id13","-2.343847","-.8076929","-.1377663","-.1292633"
"id14","-3.178277",".4417715","-.62946","-.3649686"
"id15","-1.253683",".1673185","-.0894283",".0269889"
"id16","-23.00439","-20.31412",".2712216",".4391696"
"id17","-22.40881","-2.102062","-.2002683",".0982654"
"id18","-21.61203","-.8051508","-1.123771","-1.267106"
"id19","-.9977711",".3801111",".586748",".5863383"
"id20","-24.78063","-3.749425",".292405",".0925801"
"id21","-22.38866","-2.576674",".3216842",".4583533"
"id22","-2.642168","-.228628",".4962597",".537851"
"id23","-.7919567",".0011059","-.4741317","-.4086775"
"id24","-24.04938","-21.09628","-.3290854","-.1026166"
"id25","-21.6955","-19.46938","-.8816591","-.7305645"
"id26","-2.739002","-.9999198","-.4399069","-.6669124"
"id27","-23.77416","-20.9878","-.0463535",".0655937"
"id28","-18.26517","-17.03591",".043226",".3091951"
"id29","-1.13652","-.8715575",".5912538",".6245614"
"id30","-21.14022","-18.80608","-.2230335","-.1019892"
"id31","-.4072678","-.6324888","-1.148109","-.9493712"
"id32","-3.254686","-2.923122","-.1101273",".1432945"
"id33","-19.46512","-18.27105","-.1774495","-.152771"
"id34","-2.430669","-1.546556","-.0057301","-.043901"
"id35","-3.832096","-1.041388","-.6073349","-.5520421"
"id36","-4.134861","-2.411498","-.2845598","-.342938"
"id37","-39.81616","-1.231566","-.4795272","-.2184013"
"id38","-20.79","-1.363916","-1.483865","-1.121397"
"id39","-39.79572","10.88875","11.65493","11.77387"
"id40","-1.325456","-.4157825","-.2778806",".0790973"
"id41","-2.443194","-1.020007",".1795371",".154746"
"id42","-.4669125",".4416347",".6073506",".397593"
"id43","-2.164285",".2187228","-.0359313",".0900217"
"id44","-2.464674","-.1560384",".3356059",".4676082"
"id45","-2.110006","-1.3153",".10492",".2815528"
"id46",".1315936","-.4799981","-.3124134","-.2353246"
"id47","-2.957304","-.9746676","-.8526647","-.6561985"
"id48",".4859402","1.381179",".8287118",".7872714"
"id49","-26.13166","-1.574921","-.5682401","-.35346"
"id50","-2.556228","-1.907242","-.4126265","-.3312164"
"id51","-21.19377","-19.03747","1.122825","1.139898"
"id52","-21.82373","-20.70574","-.3538297","-.9520875"
"id53","-21.25907","-19.26942","-.1326848",".1996983"
"id54","-4.880796","-1.081885","-.6864561","-.6392823"
"id55","-4.289968","-1.730858",".4721448",".4760391"
"id56","-2.461939","-.0866227",".1188565",".3770572"
"id57","-21.85633","-.6998009",".1099433",".7190423"
"id58","-1.876913","-.6922507","-.3436054",".0659771"
"id59","-40.00387","-.0709359","-.7255975","-.5869231"
"id60","-3.116714","-3.813373","-.7113769","-.5649588"
"id61",".8210361","1.078312","-1.288052","-1.076486"
"id62","-.4646158",".5455457","-.6697811","-.4733134"
"id63","-22.05028","-19.51861","1.393131","1.512554"
"id64","-2.528797","-1.707175","1.333955","1.33921"
"id65","-21.99518","-19.3625","-1.922505","-1.288495"
"id66","-1.389166","-1.510245",".5044428",".9714415"
"id67","-26.38864","-3.400379","-.3706383","-.3037488"
"id68","-19.61172","-17.6001","-1.286024","-1.659515"
"id69","-25.19148","-20.75579","-.5890544","-.6254008"
"id70","-21.80808","-3.693383","-1.489191","-1.501457"
