ID,Overspeed,Highspeedbrake,Harshacceleration,Harshdeceleration,Kilo,Fuel,Brakes,Range,Speed,RPM,Accelerator pedal position,Engine fuel rate,ID,Date,Overspeed,Highspeedbrake,Harshacceleration,Harshdeceleration,Kilo,Fuel,Brakes,Range,Speed,RPM,Accelerator pedal position,Engine fuel rate
10019419489,138,68,428,421,3123.27,1221.34,3839,1.24912269,28.11814982,958.028944,21.45300419,11.87988223,10019419489,2018/7/3,17,12,79,86,571.73,235.48,662,1.249062558,28.36779863,1002.26737,21.48592215,13.26231357
10019436951,0,5,599,573,3481.7,1139.43,1548,15.26370196,39.28150912,829.4409167,15.02398665,13.68995731,10019419489,2018/7/4,60,21,102,108,689,244.22,783,1.186546606,33.5609113,968.695348,24.29282966,12.49793634
10019436955,0,0,79,79,315.12,46.69,185,2.270932543,11.7268681,233.0747873,0.899955217,1.868137035,10019419489,2018/7/5,11,9,72,70,477.11,194.21,662,0.880254342,28.48741333,1010.272769,24.83754045,13.27447989
10019437011,0,0,124,120,341.98,52.01,328,2.551178179,16.03168196,318.1244378,0.187031484,2.809370315,10019419489,2018/7/6,32,15,93,89,531.33,216.18,696,0.875621077,26.29369236,913.1652585,20.54694153,10.97556607
10020436612,0,1,137,142,3440.27,1191.57,4365,13.99028042,35.9934216,1078.285286,18.62476032,12.871609,10019419489,2018/7/7,18,10,69,59,664.88,251.36,802,1.156263225,30.30895361,987.6485634,20.95795375,12.00269797
10020437647,27,22,109,91,716.54,279.16,412,2.499647184,31.10424234,1102.863951,26.49208301,17.93866257,10019419489,2018/7/8,0,1,13,9,187.9,79.57,234,0.603903793,16.37074675,807.9301038,13.53854671,7.548754325
10020438503,5,29,76,72,761.03,294.02,472,2.500006422,28.91200318,1015.246758,22.4675835,15.61125737,10019436951,2018/7/3,0,2,46,42,296.34,96.47,167,2.552828002,31.9372432,703.5701099,11.39428571,10.92892308
10020439582,0,2,31,37,746.09,259.9,582,2.499786379,26.76692574,921.8079268,20.34006969,13.81108449,10019436951,2018/7/4,0,0,66,57,319.38,86.15,110,2.406128762,35.23991754,666.9110092,10.89247706,9.740963303
10020439692,16,42,76,70,1341.64,539.81,1117,7.298905715,31.96334913,1081.46441,26.41528384,17.78881004,10019436951,2018/7/5,0,0,115,107,516.98,183.16,393,3.198139249,34.03352588,877.3858227,14.55035313,13.0209129
10020442466,13,26,184,194,3223.21,1373.58,2691,11.27984977,39.64384905,1023.794444,30.33863548,18.65018031,10019436951,2018/7/6,0,0,27,22,355.95,105.64,178,2.434255315,31.52028118,671.4142909,9.946878383,9.46984843
10020442627,15,29,183,144,3395.1,1349.59,2557,11.46493675,40.06561741,972.3023049,23.7666238,16.5494312,10019436951,2018/7/7,0,2,137,137,840.98,251.55,325,4.032288963,41.2594246,843.9672307,14.90400514,13.29331763
10020442686,120,92,205,183,3232.34,1253.28,2172,12.82338674,47.54589104,1046.15451,30.21454073,19.56249557,10019436951,2018/7/8,0,1,208,208,1150.66,416.3,375,7.574559648,51.70955794,1007.004506,22.25656652,20.34097639
10020443234,16,42,203,189,3399.8,1374.49,2967,11.46483043,40.60841538,979.2075884,26.59973374,16.79318657,10019436955,2018/7/3,0,0,0,0,0,0,0,0.000382688,0,0,0,0
10020443365,18,396,251,291,6339.47,1924.55,5939,21.86736167,57.02883918,1066.50537,29.67679727,17.64869401,10019436955,2018/7/4,0,0,0,0,0,0,0,0.000439046,0,0,0,0
10020443429,121,209,142,154,2449.26,900.51,2006,10.3867163,47.36804786,1177.869903,32.25936855,20.04885769,10019436955,2018/7/5,0,0,77,78,314.53,46.27,180,2.26963175,28.88920635,565.2384644,2.225470653,4.522166851
10020443580,0,0,314,324,1797.91,570.66,3275,5.860672998,23.53880242,816.8799781,11.57331871,7.806374109,10019436955,2018/7/6,0,0,2,1,0.59,0.42,8,0.002867205,0.151117674,13.711101,0,0.120154686
10020443613,0,7,137,177,2288.69,639.93,3121,7.853876088,38.77983674,990.7698948,15.95845697,11.23974238,10019436955,2018/7/7,0,0,0,0,0,0,0,0.000399155,0,0,0,0
10020443638,0,41,65,50,1488.49,408.27,2565,8.86157155,28.47258107,883.2850302,13.19148634,9.273838241,10019436955,2018/7/8,0,0,0,0,0,0,0,0.000588782,0,0,0,0
10020443665,24,47,500,480,1781.52,774.36,3933,0.913577354,30.3759984,890.4593012,21.25970436,11.82800442,10019437011,2018/7/3,0,0,0,0,0,0,0,0.003916611,0,0,0,0
10020443668,0,1,319,270,1850.35,955.15,3123,0.731273914,26.33036025,958.5586079,22.32154102,13.22216465,10019437011,2018/7/4,0,0,0,0,0,0,0,0.002396865,0,0,0,0
10020443670,0,1,132,136,957.15,316.44,871,1.888741875,24.46909486,924.9955545,14.60299485,9.306270473,10019437011,2018/7/5,0,0,0,0,0,0,0,0.001922484,0,0,0,0
10020443871,5,40,899,913,2811.54,1191.85,6437.5,0.91963721,29.17539012,875.9116827,22.23772776,11.02653001,10019437011,2018/7/6,0,0,79,76,157.1,24.37,168,1.159069005,22.15009772,459.7643865,0.26558089,4.16330076
10020444142,330,209,161,170,2506.54,821.32,7277,8.575480808,43.88522868,1073.450531,26.42334759,16.94484614,10019437011,2018/7/7,0,0,45,44,184.54,26.9,159,1.513458114,26.79834132,491.3815237,0.082303539,4.288872226
10020444209,0,0,114,106,2461.7,696.69,613,5.995718524,31.20336545,894.7122792,13.47499177,9.912141995,10019437011,2018/7/8,0,0,0,0,0.05,0.68,2,0.001070799,0.094128878,75.16229117,0.886873508,0.411575179
10020444473,0,0,106,116,2041.74,587.67,4455,6.704717536,32.17240936,849.8764669,15.12005047,10.18071924,10020436612,2018/7/3,0,0,30,23,627.9,217.2,580,5.106546915,39.67994015,1079.436848,20.48308977,14.30224426
10020444636,4,17,152,114,1794.44,641.83,3854,3.103327846,29.55235437,952.995399,19.40917326,12.78014378,10020436612,2018/7/4,0,1,56,60,905.92,341.7,1178,7.707333498,41.41189384,1166.134742,22.34360928,15.34873571
10020445034,0,0,177,193,1604.04,599.86,2689,2.043963384,27.00039749,846.0428089,18.30968265,10.14933153,10020436612,2018/7/5,0,0,22,23,299.6,88.64,428,2.153159346,24.95000682,969.1451973,11.78049144,8.129188384
10020445238,0,0,26,30,143.17,41.7,388.5,0.494282605,9.344804829,746.437409,7.02852984,4.853930131,10020436612,2018/7/6,0,0,29,36,880.26,320.94,1306,7.220675683,38.21289902,1121.022951,20.75777049,14.08518033
10020445261,52,28,292,300,1871.88,638.54,3550,3.614985087,32.17608456,981.035903,17.00246579,12.52967078,10020436612,2018/7/7,0,0,0,0,488.09,166.57,605,3.978920084,30.37140654,1004.835756,15.17732558,10.55763081
10020445409,0,0,108,103,1103.95,334.04,1375,10.53235847,23.80373548,861.498872,15.37416808,8.361148712,10020436612,2018/7/8,0,0,0,0,238.01,56.27,268,1.47046575,33.99408686,958.5537415,12.50884354,9.539863946
10020445514,132,55,94,104,3273.96,967.04,2988,5.166526523,40.58270639,1030.60716,22.44135258,12.9795514,10020437647,2018/7/3,0,0,0,0,0,0,0,0.000304237,0,0,0,0
10020445602,1,1,184,187,1528.98,402.54,3040,5.478826956,27.76817065,903.4759456,15.58433975,8.634331453,10020437647,2018/7/4,21,14,48,40,309.56,144.81,106,2.343858946,40.47238599,1112.939566,32.83701605,21.20783758
10020445606,0,0,24,25,403.36,122.52,1188,2.405481646,14.46261948,805.2511924,10.37159512,7.812718601,10020437647,2018/7/5,6,6,23,26,301.04,87.11,131,2.359846397,44.66975915,1137.465497,20.87953216,16.01269006
10020447429,5,10,130,113,1126.72,347.27,2117,4.573535012,27.84708302,1090.193036,18.5059662,11.84675219,10020437647,2018/7/6,0,0,0,0,0,0,0,0.000279322,0,0,0,0
10021048785,3,37,443,447,3976.28,1328.11,9243,4.078318042,35.00120172,1000.169091,16.99387074,11.20538695,10020437647,2018/7/7,0,2,38,25,105.94,47.24,175,0.467310854,26.58344224,1044.354651,23.7005814,15.30007267
10021049637,4,14,225,208,3089.13,1206.99,4162,7.220832099,36.66169822,1077.607308,23.97003235,15.37695603,10020437647,2018/7/8,0,0,0,0,0,0,0,0.000175171,0,0,0,0
14705563154,0,24,57,66,4901.87,1304.66,1178,5.844320964,62.22392701,940.6898204,7.10933043,17.08390855,10020438503,2018/7/3,0,0,5,9,18.13,6.82,53,0.069597622,7.011711491,669.9836066,6.052459016,4.959016393
14710503728,0,2,17,24,918.8,165.65,756,1.410875115,24.99212598,832.1601915,14.0145554,6.027181943,10020438503,2018/7/4,0,0,14,16,34.02,16.7,81,0.093526555,9.799789842,698.2195767,7.637037037,6.058068783
